,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,Genus,Species,pred_ZOI_norm,pathogenic_bacteria,pred_ZOI_pathogen,Fitness
13,green_synthesis using Aloe-vera leaf extract. 50 mmol/kg Cu(CH3COO)2*H2O,nanoplates,well_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,10500.0,45.0,41.23,0.16,30.0,2.0,Brevibacillus,Klebsiella aerogenes,16.928186,Escherichia coli,16.928186,0.0
14,green_synthesis using Olea europaea and Acacia nilotica,cube,well_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,0.3,41.9,78.9,0.16,30.0,2.0,Vibrio,Klebsiella aerogenes,11.386392,Escherichia coli,11.386392,0.0
15,chemical_synthesis using FeCl3,cube,ZOI,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,80.0,1.0,40.0,0.16,30.0,3.0,Enterococcus,Pseudomonas koreensis,17.821342,Escherichia coli,17.821342,0.0
16,green_synthesis using Phlomis Leaf Extract,clusters,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,512.0,25.8,74.0,0.16,30.0,2.0,Shigella,Cryptococcus neoformans,19.960163,Escherichia coli,19.960163,0.0
17, green_synthesis using M. citrifolia,cube,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,11.0,11.25,70.0,0.16,30.0,1.0,Streptococcus oralis,,13.937349,Escherichia coli,13.937349,0.0
18,green_synthesis from Leaf Extract of Juniperus phoenicea,snowflake,ZOI,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,125.0,12.0,3.38,0.16,30.0,1.0,Klebsiella,Citrobacter freundii,12.198483,Escherichia coli,12.198483,0.0
19,green_synthesis using Ageratum houstonianum Mill,tubular,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,25.0,14.45,15.8,0.16,30.0,2.0,Saccharomyces,Escherichia coli,6.810449,Escherichia coli,6.810449,0.0
20,green_synthesis from  Eurotium cristatum,quasi-hexagonal,ZOI,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,1.0,27.0,16.53,0.16,30.0,3.0,Enterobacter,Sphingomonas paucimobilis,8.725311,Escherichia coli,8.725311,0.0
21,green_synthesis using grape juice,quasi-hexagonal,ZOI,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,133.0,51.9,103.7,0.16,30.0,1.0,Paracidovorax,Burkholderia cepacia,19.82166,Escherichia coli,19.82166,0.0
22,green_synthesis using Moringa oleifera (drumstick) fruit pulp aqueous extracts,triangular,ZOI,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,2.0,46.8,46.8,0.16,30.0,2.0,Brevibacillus,Streptococcus pneumoniae,8.019736,Escherichia coli,8.019736,0.0
23,"chemical_synthesis (sigma aldrich, 730785)",triangles,disc_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,0.6355,43.75,34.0,0.16,30.0,1.0,Penicillium,Bacillus subtilis,9.123385,Escherichia coli,9.123385,0.0
24,green_synthesis using Olea europaea and Acacia nilotica,cylindrical,well_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,170.0,41.9,7.99,0.16,30.0,1.0,Listeria,Streptococcus pneumoniae,11.11993,Escherichia coli,11.11993,0.0
25,chemical_synthesis purchased from sigma aldrich,semi-spherical,ZOI,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,30.0,44.0,115.6,0.16,30.0,1.0,Burkholderia,Aeromonas hydrophila,9.063747,Escherichia coli,9.063747,0.0
26,chem_synthesis using hydrogen tetrachloroaureate,rod-shaped,ZOI,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,750.0,37.86,78.9,0.16,30.0,3.0,Neisseria,Aspergillus flavus,24.882969,Escherichia coli,24.882969,0.0
27,green_synthesis using A. flavus,ellipsoidal,ZOI,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,6000.0,25.8,41.9,0.16,30.0,3.0,Paracidovorax,Aeromonas hydrophila,19.89815,Escherichia coli,19.89815,0.0
28,green synthesis using flos sophorae,snowflake,disc_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,1.0,8.0,51.3,0.16,30.0,1.0,Candida,Candida albicans,17.159554,Escherichia coli,17.159554,0.0
29,chemical_synthesis using iron oleate complex,spherical,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,1.590908,46.8,40.0,0.16,30.0,3.0,Cryptococcus,Aspergillus niger,11.068206,Escherichia coli,11.068206,0.0
30,green_synthesis from fungus  Aspergillus flavus,pseudo-spherical,well_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,10500.0,25.5,3.38,0.16,30.0,3.0,Klebsiella,Salmonella enterica,15.964572,Escherichia coli,15.964572,0.0
31,chem_synthesis using hydrogen tetrachloroaureate,nanoplates,ZOI,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,250.0,41.23,77.0,0.16,30.0,3.0,Vibrio,Micrococcus luteus,11.955577,Escherichia coli,11.955577,0.0
32,chemical_synthesis by hydrolsis,Spherical,ZOI,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,2000.0,54.4,68.64,0.16,30.0,3.0,Acinetobacter,Aspergillus flavus,21.873543,Escherichia coli,21.873543,0.0
33,green_synthesis  by Bacillus sp.,triangular,well_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,25000.0,40.0,90.0,0.16,30.0,1.0,Staphylococcus,Salmonella enterica,14.216531,Escherichia coli,14.216531,0.0
34,chemical_synthesis using sodium borohydride and copper ions,spherical,well_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,21.25,80.0,78.9,0.16,30.0,2.0,Burkholderia,Escherichia coli,8.472244,Escherichia coli,8.472244,0.0
35,green_synthesis using Aloe-vera leaf extract. 10 mmol/kg Cu(CH3COO)2*H2O,spheroidal,well_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,10.0,45.1,36.4,0.16,30.0,1.0,Citrobacter freundii,,7.070661,Escherichia coli,7.070661,0.0
36,chemical_synthesis using cerium nitrate,cylindrical,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,0.3,54.4,40.0,0.16,30.0,1.0,Vibrio,Enterococcus faecium,11.096717,Escherichia coli,11.096717,0.0
37,green_synthesis from Azadirachta indica leaf ,clusters,disc_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,0.95325,55.0,300.0,0.16,30.0,2.0,Listeria,Salmonella enterica subsp. enterica serovar Gallinarum,7.586583,Escherichia coli,7.586583,0.0
38,chemical_synthesis using sodium borohydride and copper ions,cylindrical,ZOI,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,62.5,12.0,110.4,0.16,30.0,2.0,Enterococcus,Serratia marcescens,13.570236,Escherichia coli,13.570236,0.0
39,green_synthesis using Aloe-vera leaf extract. 50 mmol/kg Cu(CH3COO)2*H2O,semi-spherical,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10500.0,6.0,33.0,0.16,30.0,3.0,Citrobacter,Brevibacillus brevis,18.43191,Escherichia coli,18.43191,0.0
40,chemical_synthesis purchased from sigma aldrich,spheroidal,well_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,500.0,14.45,70.0,0.16,30.0,2.0,Paracidovorax,Streptococcus pneumoniae,7.5982594,Escherichia coli,7.5982594,0.0
41,green_synthesis using Acinetobacter calcoaceticus,cubic,well_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,0.31775,27.0,89.0,0.16,30.0,2.0,Pseudomonas,Penicillium digitatum,14.36924,Escherichia coli,14.36924,0.0
42,chemical_synthesis by hydrolsis,rod-shaped,ZOI,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,80.0,10.0,110.2,0.16,30.0,1.0,Shigella,Pseudomonas aeruginosa,17.13667,Escherichia coli,17.13667,0.0
43,chemical_synthesis using tri-sodium citrate,spheroidal,ZOI,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,50.0,33.0,100.0,0.16,30.0,1.0,Shigella,Streptococcus oralis,7.0019946,Escherichia coli,7.0019946,0.0
44,chemical_synthesis by hydrolsis,polygonal ,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10.172425,80.0,27.43,0.16,30.0,2.0,Streptococcus,Citrobacter braakii,8.492416,Escherichia coli,8.492416,0.0
45,chemical_synthesis (sigma aldrich. 730785),hexagonal,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,5.0,43.75,16.53,0.16,30.0,1.0,Vibrio,Aspergillus niger,9.900598,Escherichia coli,9.900598,0.0
46,green synthesis using rumex hastatus,tubular,well_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,300.0,8.0,25.8,0.16,30.0,1.0,Burkholderia,Streptococcus gordonii,8.313986,Escherichia coli,8.313986,0.0
47,chemical_synthesis using zinc nitrate,spherical,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,21.25,55.0,14.6,0.16,30.0,1.0,Shigella,Enterococcus faecium,8.319475,Escherichia coli,8.319475,0.0
48,green_synthesis from  piper betel leaf extract,triangles,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,6000.0,31.0,2.33,0.16,30.0,3.0,Staphylococcus,Stenotrophomonas maltophilia,14.761018,Escherichia coli,14.761018,0.0
49,green_synthesis using Olea europaea and Acacia nilotica,triangular,disc_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,128.0,6.1,38.0,0.16,30.0,2.0,Saccharomyces,Sphingomonas paucimobilis,8.423795,Escherichia coli,8.423795,0.0
50,green_synthesis using Ulva fasciata,spheroidal,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,100.0,8.0,15.8,0.16,30.0,1.0,micrococcus,Citrobacter freundii,11.033833,Escherichia coli,11.033833,0.0
51,chem_synthesis using hydrogen tetrachloroaureate,globular,well_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,180.0,45.1,21.0,0.16,30.0,2.0,Citrobacter,Shigella dysenteriae,8.712442,Escherichia coli,8.712442,0.0
52,green_synthesis using  A. calamus plant leaf extract,snowflake,well_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,4.772724,27.43,13.0,0.16,30.0,3.0,Proteus,Enterococcus faecium,6.3026547,Escherichia coli,6.3026547,0.0
53,green_synthesis from achyranthes aspera leaf extract,spherical,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,4.0,62.0,40.0,0.16,30.0,2.0,Vibrio,Bacillus subtilis,9.47739,Escherichia coli,9.47739,0.0
54,green_synthesis using Aloe-vera leaf extract. 5 mmol/kg Cu(CH3COO)2*H2O,ellipsoidal,well_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,0.2,10.0,15.8,0.16,30.0,3.0,Enterococcus,Streptococcus mutans,10.073721,Escherichia coli,10.073721,0.0
55,chemical_synthesis using sodium borohydride and copper ions,semi-spherical,ZOI,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,18.0,57.1,70.0,0.16,30.0,3.0,Shigella,Klebsiella pneumoniae,13.596937,Escherichia coli,13.596937,0.0
56,green synthesis using streptomyces chiangmaiensis,triangular,disc_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,25000.0,14.45,30.0,0.16,30.0,2.0,Burkholderia,Penicillium digitatum,14.911997,Escherichia coli,14.911997,0.0
57,green synthesis using rumex hastatus,snowflake,well_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,66.0,55.8,30.0,0.16,30.0,3.0,Pseudomonas,Streptococcus pneumoniae,7.616446,Escherichia coli,7.616446,0.0
58,chemical_synthesis using sodium borohydride and copper ions,ellipsoidal,well_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,5.31,22.0,23.75,0.16,30.0,2.0,Vibrio,Burkholderia cepacia,8.092534,Escherichia coli,8.092534,0.0
59,green_synthesis using A. flavus,nanoplates,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,512.0,41.23,16.53,0.16,30.0,1.0,Aspergillus,Escherichia coli,10.220669,Escherichia coli,10.220669,0.0
60,"chemical_synthesis (sigma aldrich, 730785)",polygonal ,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,400.0,51.9,68.7,0.16,30.0,3.0,Acinetobacter,Klebsiella oxytoca,20.067373,Escherichia coli,20.067373,0.0
