,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,Genus,Species,pred_ZOI_norm,pathogenic_bacteria,pred_ZOI_pathogen,Fitness
20,green_synthesis from Azadirachta indica leaf ,cylindrical,disc_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,1.33,1.41,10.0,0.16,30.0,3.0,Bacillus,Citrobacter braakii,7.1488323,Escherichia coli,7.1488323,0.0
21,green_synthesis using Hagenia abyssinica (Brace) JF. Gmel.,quasi-spherical,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,0.95325,33.0,56.2,0.16,30.0,1.0,Micrococcus,Vibrio cholerae,11.649065,Escherichia coli,11.649065,0.0
22,chemical_synthesis purchased from MK impex corp,nanoplates,ZOI,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,64.0,5.0,3.38,0.16,30.0,1.0,Acinetobacter,Staphylococcus haemolyticus,1.9784036,Escherichia coli,1.9784036,0.0
23,chem_synthesis_reduction_by_D_glucose,cubic,well_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,4.0,8.0,70.0,0.16,30.0,2.0,Enterobacter,Sphingomonas paucimobilis,13.996117,Escherichia coli,13.996117,0.0
24,green synthesis using murraya koenigii,nanoplates,disc_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,62.5,45.3,79.0,0.16,30.0,1.0,Streptococcus,Aeromonas hydrophila,12.665359,Escherichia coli,12.665359,0.0
25,green_synthesis using Olea europaea and Acacia nilotica,triangles,well_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,102.0,11.0,78.9,0.16,30.0,2.0,Stenotrophomonas,Staphylococcus haemolyticus,11.551414,Escherichia coli,11.551414,0.0
26,chemical_synthesis using cerium nitrate,cubic,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,225.0,25.0,68.7,0.16,30.0,1.0,Saccharomyces,Streptococcus pneumoniae,19.287157,Escherichia coli,19.287157,0.0
27,chemical_synthesis by wet chemical reduction approach,rod-shaped,ZOI,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,80.0,40.0,27.43,0.16,30.0,3.0,Neisseria,micrococcus lotus,15.527691,Escherichia coli,15.527691,0.0
28,green synthesis using phoenix dactylifera seed,globular,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,128.0,100.0,41.9,0.16,30.0,2.0,Neisseria,Proteus vulgaris,14.3721485,Escherichia coli,14.3721485,0.0
29,green synthesis using streptomyces chiangmaiensis,ellipsoidal,well_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,15.0,100.0,51.3,0.16,30.0,1.0,Haemophilus,Shigella sonnei,14.009302,Escherichia coli,14.009302,0.0
30, green_synthesis using M. citrifolia,hexagonal,disc_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,65.0,45.1,80.0,0.16,30.0,1.0,Pseudomonas,Klebsiella pneumoniae,19.534801,Escherichia coli,19.534801,0.0
31,chemical_synthesis by wet chemical reduction approach,spheroidal,disc_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10.0,25.5,50.0,0.16,30.0,1.0,Aspergillus,Vibrio cholerae,20.740162,Escherichia coli,20.740162,0.0
32,chemical_synthesis using sodium borohydride and silver ions,nanorods,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,5.0,0.5,34.0,0.16,30.0,2.0,Proteus,Streptococcus mutans,4.9384875,Escherichia coli,4.9384875,0.0
33,chemical_synthesis purchased from nanoshel,triangles,well_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,0.95325,41.9,22.0,0.16,30.0,3.0,Escherichia,Salmonella enterica subsp. enterica serovar Typhi,12.73361,Escherichia coli,12.73361,0.0
34,green_synthesis using using Aeromonas hydrophila,hexagonal,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,133.0,28.0,27.43,0.16,30.0,1.0,Aeromonas,Salmonella enterica subsp. enterica serovar Paratyphi A,11.755382,Escherichia coli,11.755382,0.0
35,green_synthesis from fungus,ellipsoidal,disc_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,65.0,4.0,103.7,0.16,30.0,2.0,Saccharomyces,Serratia marcescens,18.009544,Escherichia coli,18.009544,0.0
36,green_synthesis using Prunus africana,clusters,well_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,5.31,77.0,69.0,0.16,30.0,3.0,Shigella,Salmonella enterica subsp. enterica serovar Gallinarum,15.975199,Escherichia coli,15.975199,0.0
37,green_synthesis from  Eurotium cristatum,triangles,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,10.172425,15.8,36.4,0.16,30.0,2.0,Brevibacillus,Haemophilus influenzae,17.413427,Escherichia coli,17.413427,0.0
38,chemical_synthesis purchased from nanoshel,globular,ZOI,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,10500.0,45.3,51.9,0.16,30.0,3.0,Penicillium,Serratia marcescens,18.393734,Escherichia coli,18.393734,0.0
39,green synthesis using fungal filtrate the heavy metal resistant strain amycolatopsis tucumanensis,cube,disc_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,400.0,14.0,51.3,0.16,30.0,1.0,Aeromonas,Bacillus subtilis,19.248013,Escherichia coli,19.248013,0.0
40,chemical_synthesis by two step sol-gel preparation,cube,disc_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,2.5,38.0,120.0,0.16,30.0,1.0,Neisseria,Enterococcus faecalis,12.850891,Escherichia coli,12.850891,0.0
41,green green synthesis using commiphora myrrh,tubular,disc_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,2.0,30.0,6.0,0.16,30.0,3.0,Burkholderia,Sphingomonas paucimobilis,9.293073,Escherichia coli,9.293073,0.0
42,green_synthesis using Moringa oleifera (drumstick) fruit pulp aqueous extracts,quasi-spherical,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,28.0,12.0,50.0,0.16,30.0,3.0,Klebsiella,Proteus vulgaris,20.226946,Escherichia coli,20.226946,0.0
43,chemical_synthesis using FeCl3,spheroidal,well_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,0.3,51.9,44.0,0.16,30.0,3.0,Aspergillus,Klebsiella pneumoniae,14.469715,Escherichia coli,14.469715,0.0
44,green_synthesis using aqueous extract of Ocimum tenuiflorum leaves. 10 mmol/kg Cu(CH3COO)2*H2O,hexagonal,ZOI,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,79.5454,77.0,46.0,0.16,30.0,2.0,Salmonella enterica subsp. enterica serovar Typhimurium,,17.595789,Escherichia coli,17.595789,0.0
45,chemical_synthesis by controlled precipitation of iron chloride salts,cubic,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,8.0,45.1,6.0,0.16,30.0,2.0,micrococcus,Saccharomyces cerevisiae,14.65283,Escherichia coli,14.65283,0.0
46,green_synthesis from  aqueous extract of Tamarindus indica L/,snowflake,ZOI,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,3.0,31.0,110.2,0.16,30.0,2.0,Serratia,Aspergillus niger,24.101389,Escherichia coli,24.101389,0.0
47, green_synthesis using M. citrifolia,rod-shaped,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,81.3794,42.8,75.3,0.16,30.0,2.0,Micrococcus,Staphylococcus epidermidis,21.137373,Escherichia coli,21.137373,0.0
48,green_synthesis using Ageratum houstonianum Mill,globular,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10.0,45.1,50.0,0.16,30.0,1.0,Sphingomonas,Salmonella enterica,19.451115,Escherichia coli,19.451115,0.0
49,chemical_synthesis by controlled precipitation of iron chloride salts,triangular,well_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,4000.0,6.86,110.2,0.16,30.0,2.0,Shigella dysenteriae,,18.960615,Escherichia coli,18.960615,0.0
