,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,Genus,Species,pred_ZOI_norm,pathogenic_bacteria,pred_ZOI_pathogen,Fitness
39,chem_synthesis_thermal_reduction_of_Cu(NO3)2⋅3H2O,hexagonal,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,64.0,10.0,33.0,0.16,30.0,2.0,Burkholderia,Sphingomonas paucimobilis,17.113377,Escherichia coli,17.113377,0.0
40,green_synthesis from Luffa acutangula,ellipsoidal,ZOI,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,20.34485,45.0,40.0,0.16,30.0,2.0,Salmonella,Candida albicans,16.21425,Escherichia coli,16.21425,0.0
41,chemical_synthesis purchased from MK impex corp,cubic,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,0.3,10.0,89.0,0.16,30.0,3.0,Bacillus,Brevibacillus brevis,19.113836,Escherichia coli,19.113836,0.0
42,green_synthesis  by Bacillus sp.,rod-shaped,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,7.95454,93.2,15.8,0.16,30.0,2.0,Escherichia coli,,13.871938,Escherichia coli,13.871938,0.0
43,green_synthesis using Aloe-vera leaf extract. 10 mmol/kg Cu(CH3COO)2*H2O,ellipsoidal,disc_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,70.0,12.0,92.0,0.16,30.0,3.0,micrococcus,Salmonella enterica subsp. enterica serovar Gallinarum,18.564693,Escherichia coli,18.564693,0.0
44, green_synthesis using M. citrifolia,spherical,ZOI,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,5.31,80.0,15.55,0.16,30.0,1.0,Staphylococcus,Streptococcus pneumoniae,16.17769,Escherichia coli,16.17769,0.0
45,chemical synthesis using sodium borohydride,quasi-spherical,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,14.0,27.43,25.8,0.16,30.0,2.0,Burkholderia,Candida albicans,14.233389,Escherichia coli,14.233389,0.0
46,chem_synthesis using hydrogen tetrachloroaureate,nanorods,ZOI,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,13.0,2.48,103.7,0.16,30.0,1.0,Penicillium,Klebsiella pneumoniae,18.564276,Escherichia coli,18.564276,0.0
47,green_synthesis from achyranthes aspera leaf extract,cubic,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,2.65,25.8,46.8,0.16,30.0,3.0,Proteus,Escherichia coli,19.234022,Escherichia coli,19.234022,0.0
48,chemical_synthesis using sodium borohydride,cylindrical,ZOI,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,40.6897,27.0,12.0,0.16,30.0,2.0,Aspergillus,Enterococcus faecium,12.519698,Escherichia coli,12.519698,0.0
49,green synthesis using pisum sativum l.,cubic,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,0.0,0.5,30.0,0.16,30.0,1.0,Haemophilus,Candida albicans,18.322256,Escherichia coli,18.322256,0.0
50,green_synthesis using grape juice,cubic,well_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,125.0,25.0,41.9,0.16,30.0,2.0,Sphingomonas,Salmonella enterica subsp. enterica serovar Paratyphi A,13.989287,Escherichia coli,13.989287,0.0
51,green_synthesis using Moringa oleifera (drumstick) fruit pulp aqueous extracts,rod-shaped,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,65.0,37.1,41.23,0.16,30.0,1.0,Candida,Sphingomonas paucimobilis,17.609308,Escherichia coli,17.609308,0.0
52,chemical_synthesis purchased from nanoshel,rod-shaped,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,16.0,21.2,16.0,0.16,30.0,1.0,Escherichia,Paracidovorax avenae,11.284274,Escherichia coli,11.284274,0.0
53,chem_synthesis by sol-gel method,hexagonal,ZOI,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,15.0,37.1,92.0,0.16,30.0,3.0,Salmonella,Burkholderia cepacia,20.16291,Escherichia coli,20.16291,0.0
54, green_synthesis using M. citrifolia,nanorods,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,18.0,51.9,9.0,0.16,30.0,2.0,Burkholderia,Enterococcus faecium,14.742658,Escherichia coli,14.742658,0.0
55,green_synthesis using Momordica charantia,ellipsoidal,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,60.0,77.0,25.5,0.16,30.0,1.0,Penicillium,Cryptococcus neoformans,14.625851,Escherichia coli,14.625851,0.0
56,green_synthesis from A. comosus extract,quasi-spherical,well_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,2.5,45.1,14.6,0.16,30.0,1.0,Penicillium,Sphingomonas paucimobilis,13.253756,Escherichia coli,13.253756,0.0
57,green synthesis using origanum ehrenbergii,polygonal ,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,103.0,51.9,46.8,0.16,30.0,1.0,Enterobacter,Haemophilus influenzae,18.7109,Escherichia coli,18.7109,0.0
58,green synthesis using fig ,quasi-spherical,well_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,10.172425,15.8,37.1,0.16,30.0,2.0,Aspergillus,Citrobacter braakii,16.084614,Escherichia coli,16.084614,0.0
59,green_synthesis using Acinetobacter calcoaceticus,spheroidal,well_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,0.95325,92.0,36.0,0.16,30.0,3.0,Bacillus,Neisseria mucosa,15.347679,Escherichia coli,15.347679,0.0
60,green_synthesis using Aloe-vera leaf extract. 10 mmol/kg Cu(CH3COO)2*H2O,pseudo-spherical,disc_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,81.3794,81.0,36.4,0.16,30.0,2.0,Acinetobacter,Pseudomonas koreensis,16.642042,Escherichia coli,16.642042,0.0
