,NP_Synthesis,shape,method,Bacteria,Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,Genus,Species,time (hr),NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level
36,184,126,191,54,101,61,47,48,55,273,266,290,64,16,0.8937317475698987,-0.3617083973762183,-1.0003693798547157,-0.5873696388085838,0.0,0.0,-0.0603022689155525
37,224,287,155,54,101,61,47,48,55,273,266,290,14,24,-0.36046561128598836,1.9736091152005923,-1.2679398073883603,-0.91202333404826,0.0,0.0,-0.0603022689155525
38,244,284,155,54,101,61,47,48,55,273,266,290,41,150,-0.40691736531768785,-0.3385246128589314,0.48273527561748475,2.7197987337517833,0.0,0.0,-0.0603022689155525
39,175,284,292,54,101,61,47,48,25,273,266,290,110,95,2.008573844330687,-0.3607207228190824,-0.5034528715779476,4.557114496285321,0.0,0.0,1.145743109395502
40,236,268,155,54,101,61,47,48,60,273,266,290,139,66,-0.2211103491908898,-0.3324498880277321,-0.3161535723043965,0.4047808729595263,0.0,0.0,-1.2663476472266069
41,167,267,191,54,101,61,47,48,25,273,266,290,36,16,-0.40691736531768785,-0.18759106512990423,0.41393145139454773,-0.8080312618888617,0.0,0.0,-0.0603022689155525
42,162,190,191,54,101,61,47,48,60,273,266,290,14,137,-0.49982087338108694,-0.3488049164194224,-0.3161535723043965,-0.03617491004852265,0.0,0.0,-1.2663476472266069
43,174,196,155,54,101,61,47,48,25,273,266,290,139,150,-0.36046561128598836,-0.3626007917435229,1.75178358906277,-0.5506233235579131,0.0,0.0,-0.0603022689155525
44,224,196,191,54,101,61,47,48,55,273,266,290,44,29,-0.40691736531768785,-0.3442382653918946,-0.49580800221984345,0.49480934532366977,0.0,0.0,-1.2663476472266069
45,213,275,155,54,101,61,47,48,60,273,266,290,41,125,2.008573844330687,-0.3622394040268822,-0.12120940367274119,-0.7481347680302683,0.0,0.0,1.145743109395502
46,243,196,155,54,101,61,47,48,60,273,266,290,21,54,-0.49982087338108694,-0.3609649875045449,0.22280971744194455,1.069889178996667,0.0,0.0,1.145743109395502
47,158,267,191,54,101,61,47,48,55,273,266,290,41,15,-0.36046561128598836,-0.3627767835311806,-1.072995638756705,0.4047808729595263,0.0,0.0,-1.2663476472266069
48,242,188,155,54,101,61,47,48,55,273,266,290,14,151,-0.36046561128598836,-0.24319816166165106,0.41393145139454773,-0.4863172718692393,0.0,0.0,-1.2663476472266069
49,175,285,191,54,101,61,47,48,55,273,266,290,53,97,-1.15014542982488,-0.3628235121837283,0.3661510179063969,0.45990034583553246,0.0,0.0,-1.2663476472266069
50,163,190,292,54,101,61,47,48,60,273,266,290,94,104,-0.7785313975712841,-0.3324498880277321,1.5224375083196462,-0.7343548998112669,0.0,0.0,-0.0603022689155525
51,177,190,155,54,101,61,47,48,25,273,266,290,64,150,2.008573844330687,-0.3569824306152675,1.637110548691208,0.3063007480877287,0.0,0.0,1.145743109395502
52,217,261,155,54,101,61,47,48,55,273,266,290,62,37,0.8937317475698987,-0.2927305333621987,-1.252267825204247,-0.7159817421859315,0.0,0.0,-0.0603022689155525
53,172,189,191,54,101,61,47,48,60,273,266,290,83,79,-0.2211103491908898,2.0904307465698087,-1.1150424202262776,-0.8080312618888617,0.0,0.0,-0.0603022689155525
54,159,274,191,54,101,61,47,48,60,273,266,290,105,35,-0.36046561128598836,-0.35815064692895965,-0.7538223430558577,-0.7159817421859315,0.0,0.0,1.145743109395502
55,183,192,292,54,101,61,47,48,25,273,266,290,139,134,-1.15014542982488,-0.24600188081451227,-0.25767032171489984,-0.2199064863018764,0.0,0.0,-1.2663476472266069
56,230,282,155,54,101,61,47,48,60,273,266,290,88,111,0.8937317475698987,-0.1291802494452962,0.32983788845540224,-0.8813401608139498,0.0,0.0,1.145743109395502
57,232,268,155,54,101,61,47,48,55,273,266,290,94,97,-0.49982087338108694,-0.3590852199799134,0.22280971744194455,-0.10966754054986415,0.0,0.0,1.145743109395502
58,258,280,292,54,101,61,47,48,25,273,266,290,136,89,0.8937317475698987,0.10446301329313587,1.637110548691208,-0.5873696388085838,0.0,0.0,-0.0603022689155525
59,237,267,155,54,101,61,47,48,55,273,266,290,50,66,0.8937317475698987,-0.33174895823951683,1.3175550095224555,0.4966466610862032,0.0,0.0,1.145743109395502
60,216,267,191,54,101,61,47,48,55,273,266,290,148,113,2.008573844330687,-0.3030108369226897,0.4253987554317038,0.7354977102155631,0.0,0.0,1.145743109395502
61,256,282,191,54,101,61,47,48,25,273,266,290,148,98,0.8937317475698987,-0.3607207228190824,-0.7022194748886549,-0.6691301902413264,0.0,0.0,-0.0603022689155525
62,164,261,292,54,101,61,47,48,60,273,266,290,132,38,-0.49982087338108694,3.1418254288927527,2.2563449666976427,0.42866597787246224,0.0,0.0,-0.0603022689155525
63,229,279,191,54,101,61,47,48,60,273,266,290,77,125,-0.2211103491908898,-0.3336181043414243,-1.2679398073883603,-0.12252875088759896,0.0,0.0,-0.0603022689155525
64,182,288,155,54,101,61,47,48,25,273,266,290,77,79,-0.2211103491908898,-0.35978614976812867,-0.044760710091699914,0.7354977102155631,0.0,0.0,-1.2663476472266069
65,255,190,292,54,101,61,47,48,55,273,266,290,88,97,-0.7785313975712841,-0.3442382653918946,2.2563449666976427,0.4047808729595263,0.0,0.0,1.145743109395502
66,164,187,191,54,101,61,47,48,55,273,266,290,136,23,-0.2211103491908898,-0.3429638348509616,-0.8474719926926333,0.6803782373395569,0.0,0.0,1.145743109395502
67,186,189,292,54,101,61,47,48,60,273,266,290,148,93,-1.15014542982488,3.1418254288927527,0.03168798348934136,-0.495503850681907,0.0,0.0,1.145743109395502
68,250,192,292,54,101,61,47,48,55,273,266,290,53,3,-1.15014542982488,-0.36245180724789167,1.7135592422722494,0.07773866722855673,0.0,0.0,-1.2663476472266069
69,250,196,292,54,101,61,47,48,60,273,266,290,41,137,-0.40691736531768785,-0.35331663791588036,2.9061588621364933,-0.6511244957684976,0.0,0.0,1.145743109395502
70,211,287,191,54,101,61,47,48,60,273,266,290,36,130,-0.49982087338108694,-0.36220435753747143,-0.8474719926926333,-0.4863172718692393,0.0,0.0,-1.2663476472266069
71,169,261,292,54,101,61,47,48,55,273,266,290,136,140,-0.49982087338108694,-0.26936620708835546,-0.885696339483154,-0.7159817421859315,0.0,0.0,-1.2663476472266069
72,186,268,292,54,101,61,47,48,60,273,266,290,132,42,-0.49982087338108694,-0.3511413490468067,0.8688011782017433,-0.6691301902413264,0.0,0.0,-1.2663476472266069
73,159,288,191,54,101,61,47,48,60,273,266,290,36,23,-0.7785313975712841,1.9736091152005923,-1.252267825204247,-0.91202333404826,0.0,0.0,1.145743109395502
74,233,126,155,54,101,61,47,48,25,273,266,290,28,70,-1.15014542982488,-0.1291802494452962,-0.7538223430558577,-0.1849974868137392,0.0,0.0,1.145743109395502
75,210,285,292,54,101,61,47,48,55,273,266,290,92,103,-0.49982087338108694,-0.3625127666442862,2.210475750549018,-0.19730750242271394,0.0,0.0,-0.0603022689155525
76,161,267,292,54,101,61,47,48,25,273,266,290,41,3,-0.40691736531768785,-0.3394591859098851,1.163128648488752,0.1475566662048311,0.0,0.0,-0.0603022689155525
77,169,282,191,54,101,61,47,48,25,273,266,290,2,143,-1.15014542982488,-0.35289367351734496,0.6547448361748276,1.073563810521734,0.0,0.0,-1.2663476472266069
78,203,279,191,54,101,61,47,48,25,273,266,290,263,103,-0.36046561128598836,-0.3474030568429918,0.6776794442491401,-0.8080312618888617,0.0,0.0,-0.0603022689155525
79,212,284,155,54,101,61,47,48,55,273,266,290,92,15,2.008573844330687,2.0904307465698087,0.22280971744194455,4.557114496285321,0.0,0.0,1.145743109395502
80,229,274,191,54,101,61,47,48,55,273,266,290,30,42,-0.2211103491908898,-0.28104837022527707,1.7135592422722494,-0.7648543414693235,0.0,0.0,1.145743109395502
81,217,196,155,54,101,61,47,48,25,273,266,290,44,46,0.8937317475698987,-0.3627767835311806,-0.27410679083482375,-0.2933991168032179,0.0,0.0,-1.2663476472266069
82,166,196,155,54,101,61,47,48,55,273,266,290,2,141,-0.7785313975712841,-0.33922554264714666,0.14636102386090327,0.33128824245818483,0.0,0.0,1.145743109395502
83,202,285,191,54,101,61,47,48,25,273,266,290,139,115,-0.40691736531768785,-0.24600188081451227,-0.31997600698344847,-0.03617491004852265,0.0,0.0,-0.0603022689155525
84,161,287,191,54,101,61,47,48,25,273,266,290,136,142,0.8937317475698987,-0.3324498880277321,0.03168798348934136,-0.348518589679224,0.0,0.0,1.145743109395502
85,248,189,292,54,101,61,47,48,55,273,266,290,50,142,-0.7785313975712841,-0.3613366924403816,-0.27410679083482375,-0.7894743726872729,0.0,0.0,-1.2663476472266069
86,163,188,191,54,101,61,47,48,25,273,266,290,62,122,-0.36046561128598836,-0.32479601511233636,-1.0439451351959095,-0.12252875088759896,0.0,0.0,1.145743109395502
87,186,277,155,54,101,61,47,48,60,273,266,290,129,98,-0.36046561128598836,-0.3613366924403816,-1.2197771304323044,-0.7648543414693235,0.0,0.0,-0.0603022689155525
88,200,192,292,54,101,61,47,48,60,273,266,290,129,106,-0.2211103491908898,-0.36034105251713244,-1.2113677741383897,-0.12804069817519953,0.0,0.0,1.145743109395502
89,236,187,191,54,101,61,47,48,60,273,266,290,88,84,-0.49982087338108694,-0.24319816166165106,-0.771023299111592,-0.12804069817519953,0.0,0.0,1.145743109395502
90,183,189,292,54,101,61,47,48,60,273,266,290,88,103,0.8937317475698987,0.57174953877,0.29925841102298584,0.3063007480877287,0.0,0.0,-0.0603022689155525
91,201,188,155,54,101,61,47,48,25,273,266,290,92,134,-1.15014542982488,-0.08245159689760981,-0.8092476459021126,-0.2933991168032179,0.0,0.0,1.145743109395502
92,159,282,191,54,101,61,47,48,25,273,266,290,2,29,-0.36046561128598836,-0.36025343629360557,-0.6372380853447698,-0.5689964811832485,0.0,0.0,1.145743109395502
93,254,287,191,54,101,61,47,48,25,273,266,290,123,54,-0.49982087338108694,3.1418254288927527,1.3175550095224555,-0.7343548998112669,0.0,0.0,1.145743109395502
94,229,190,191,54,101,61,47,48,60,273,266,290,132,31,2.008573844330687,-0.3607207228190824,-0.5034528715779476,-0.6792354269352607,0.0,0.0,-0.0603022689155525
95,224,275,292,54,101,61,47,48,55,273,266,290,148,93,-1.15014542982488,-0.3385246128589314,0.03168798348934136,0.03731772045281885,0.0,0.0,1.145743109395502
96,233,189,155,54,101,61,47,48,55,273,266,290,94,31,-0.36046561128598836,-0.3626007917435229,-1.1123667159509414,0.3074031375452489,0.0,0.0,1.145743109395502
97,250,279,292,54,101,61,47,48,25,273,266,290,2,122,-0.2211103491908898,-0.32479601511233636,0.796174919299754,0.07773866722855673,0.0,0.0,1.145743109395502
98,201,187,292,54,101,61,47,48,55,273,266,290,64,95,2.008573844330687,-0.3625898689209899,-0.3161535723043965,0.7354977102155631,0.0,0.0,-1.2663476472266069
99,236,189,191,54,101,61,47,48,55,273,266,290,34,23,-0.40691736531768785,-0.3590852199799134,-0.6181259119495095,0.45990034583553246,0.0,0.0,-1.2663476472266069
