,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,Genus,Species
13,green synthesis using fungal filtrate the heavy metal resistant strain amycolatopsis tucumanensis,hexagonal,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,300.0,81.0,7.99,0.16,30.0,1.0,Neisseria mucosa,
14,chemical_synthesis using AgNO3,clusters,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,162.7588,6.86,120.0,0.16,30.0,3.0,Aspergillus,Acinetobacter baumannii
15,green synthesis using acacia nilotica,pseudo-spherical,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,195.0,110.2,38.0,0.16,30.0,2.0,Neisseria,Vibrio vulnificus
16,chemical_synthesis using tri-sodium citrate,pseudo-spherical,ZOI,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,125.0,15.0,16.53,0.16,30.0,3.0,Listeria,Klebsiella pneumoniae
17,green synthesis using origanum ehrenbergii,spherical,disc_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,40.6897,27.43,26.38,0.16,30.0,3.0,Aeromonas,micrococcus lotus
18,green_synthesis using A. flavus,Spherical,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,0.3,9.0,40.0,0.16,30.0,3.0,Salmonella enterica subsp. enterica serovar Gallinarum,
19,green_synthesis using A. flavus,globular,ZOI,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,300.0,28.0,50.0,0.16,30.0,1.0,micrococcus,Klebsiella oxytoca
20,chemical_synthesis (sigma aldrich. 916056),spheroidal,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,400.0,41.23,15.8,0.16,30.0,1.0,Stenotrophomonas,Brevibacillus brevis
21,green synthesis using pimpinella anisum,semi-spherical,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,3.0,46.0,41.23,0.16,30.0,1.0,Enterococcus,Serratia marcescens
22,green synthesis using flos sophorae,hexagonal,well_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,40.0,100.0,89.0,0.16,30.0,3.0,Enterobacter,Vibrio vulnificus
23,green_synthesis using Aloe-vera leaf extract. 5 mmol/kg Cu(CH3COO)2*H2O,semi-spherical,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,10.172425,25.0,27.43,0.16,30.0,3.0,Haemophilus,Bacillus cereus
24,chem_synthesis_thermal_reduction_of_Cu(NO3)2⋅3H2O,polygonal ,disc_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,0.2,45.1,105.0,0.16,30.0,1.0,Neisseria,Enterobacter cloacae
25,green_synthesis using aqueous extract of Ocimum tenuiflorum leaves. 50 mmol/kg Cu(CH3COO)2*H2O,rod-shaped,ZOI,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,128.0,62.0,25.0,0.16,30.0,1.0,Serratia,Citrobacter freundii
26,green_synthesis using extract of Klebsiella pneumoniae,rod-shaped,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,101.0,5.07,37.1,0.16,30.0,3.0,Candida,Citrobacter freundii
27,chemical_synthesis by hydrolsis,cube,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,60.0,0.5,45.3,0.16,30.0,3.0,Candida,Enterococcus faecalis
28,green_synthesis using Camellia sinensis,pseudo-spherical,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,0.3,42.0,18.0,0.16,30.0,3.0,Enterobacter,Paracidovorax avenae
29,chemical_synthesis using sodium borohydride and silver ions,nanorods,well_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,170.0,81.0,41.23,0.16,30.0,1.0,Saccharomyces,Klebsiella aerogenes
30,green synthesis using murraya koenigii,semi-spherical,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10500.0,21.2,110.4,0.16,30.0,3.0,Acinetobacter,Enterococcus faecium
31,green_synthesis using Aloe-vera leaf extract. 10 mmol/kg Cu(CH3COO)2*H2O,polygonal ,well_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,15000.0,15.8,70.0,0.16,30.0,2.0,Micrococcus,Klebsiella oxytoca
32,chemical_synthesis using FeCl3,pseudo-spherical,disc_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,0.95325,37.1,75.3,0.16,30.0,3.0,Candida,Klebsiella pneumoniae
33,green_synthesis using extract of Klebsiella pneumoniae,quasi-spherical,ZOI,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,0.0,27.43,110.2,0.16,30.0,2.0,Enterobacter,Burkholderia cepacia
34,green_synthesis from fungus  Phytophthora infestans,cylindrical,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,130.0,55.0,38.0,0.16,30.0,1.0,Enterobacter,Shigella dysenteriae
35,chemical_synthesis by controlled precipitation of iron chloride salts,semi-spherical,ZOI,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,2000.0,45.1,35.0,0.16,30.0,1.0,Neisseria,Aspergillus niger
36,gamma irradiation,snowflake,well_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,3.0,21.2,12.0,0.16,30.0,1.0,Escherichia,Pseudomonas koreensis
37,gamma irradiation,triangular,disc_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,0.0,45.0,12.0,0.16,30.0,1.0,Enterococcus,Brevibacillus brevis
38,green_synthesis using Acinetobacter calcoaceticus,tubular,disc_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,15.6,25.0,45.0,0.16,30.0,2.0,Neisseria,Sphingomonas paucimobilis
39,green_synthesis using Camellia sinensis,triangles,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,16.0,33.0,110.2,0.16,30.0,3.0,Neisseria mucosa,
40,green synthesis using pisum sativum l.,cubic,disc_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,4.772724,51.3,59.0,0.16,30.0,2.0,Paracidovorax,Penicillium digitatum
41,green_synthesis from A. comosus extract,polygonal ,well_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,250.0,22.0,115.6,0.16,30.0,1.0,Haemophilus,Streptococcus oralis
42, green_synthesis using M. citrifolia,spherical,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,750.0,10.0,92.0,0.16,30.0,1.0,Vibrio,Sphingomonas paucimobilis
43,green synthesis using fig ,cubic,disc_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,50.0,55.0,6.0,0.16,30.0,3.0,Paracidovorax,Enterobacter cloacae
44,green_synthesis from fungus  Aspergillus flavus,cube,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,20000.0,21.2,55.0,0.16,30.0,1.0,Bacillus,Salmonella enterica subsp. enterica serovar Typhi
45,green_synthesis using extract of Klebsiella pneumoniae,polygonal ,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,66.0,26.38,2.33,0.16,30.0,1.0,Aspergillus,Serratia marcescens
46,green_synthesis using Phlomis Leaf Extract,globular,ZOI,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,2.5,27.0,80.0,0.16,30.0,1.0,Listeria,Bacillus cereus
47,chemical_synthesis using iron oleate complex,clusters,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,128.0,33.0,79.0,0.16,30.0,2.0,Aspergillus,Staphylococcus aureus
48,green_synthesis using wood apple shell extract,nanorods,well_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,1200.0,27.0,37.86,0.16,30.0,1.0,Aeromonas,Streptococcus pyogenes
49,green_synthesis using aqueous extract of Ocimum tenuiflorum leaves. 50 mmol/kg Cu(CH3COO)2*H2O,triangles,ZOI,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,0.6355,55.0,68.7,0.16,30.0,3.0,Aeromonas,Streptococcus gordonii
50,green_synthesis using Prunus africana,snowflake,ZOI,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,400.0,35.0,18.0,0.16,30.0,1.0,Haemophilus,Salmonella enterica
51,green_synthesis from  piper betel leaf extract,polygonal ,well_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,4.772724,46.8,25.0,0.16,30.0,1.0,Klebsiella,Streptococcus gordonii
52,green synthesis using phoenix dactylifera seed,Spherical,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,500.0,40.0,3.38,0.16,30.0,3.0,Enterobacter,Sphingomonas paucimobilis
53,chemical_synthesis using zinc nitrate,spherical,ZOI,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,9.0,28.0,90.0,0.16,30.0,2.0,Haemophilus,Shigella dysenteriae
54,green_synthesis using Aspergillus niger,hexagonal,ZOI,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,40.0,25.9,42.0,0.16,30.0,3.0,Burkholderia,Bacillus cereus
55,green synthesis using rumex hastatus,spheroidal,disc_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,225.0,43.75,45.1,0.16,30.0,1.0,Acinetobacter,
56,green synthesis using fig ,polygonal ,well_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,40.0,41.9,25.9,0.16,30.0,1.0,Paracidovorax,Candida albicans
57,chemical_synthesis using Purpureocillium lilacinum,pseudo-spherical,ZOI,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,30.0,17.5,45.1,0.16,30.0,2.0,Citrobacter,Bacillus subtilis
58,green_synthesis from fungus,Spherical,well_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,750.0,79.0,15.8,0.16,30.0,2.0,Klebsiella,Shigella sonnei
59,green_synthesis from  Eurotium cristatum,ellipsoidal,disc_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,133.0,45.1,54.0,0.16,30.0,1.0,Acinetobacter,Bacillus cereus
60,green_synthesis from fungus  Phytophthora infestans,cubic,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,102.0,55.8,46.8,0.16,30.0,2.0,Enterobacter,Stenotrophomonas maltophilia
61,green_synthesis using Cissus vitiginea,cube,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,15.0,30.0,45.3,0.16,30.0,3.0,Aeromonas,Proteus sp. (in: enterobacteria)
62,green_synthesis from Luffa acutangula,polygonal ,well_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,5.0,42.8,45.1,0.16,30.0,1.0,Citrobacter freundii,
63,green synthesis using murraya koenigii,clusters,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,3.181816,43.75,4.0,0.16,30.0,2.0,Bacillus,Stenotrophomonas maltophilia
64,green_synthesis using Hagenia abyssinica (Brace) JF. Gmel.,semi-spherical,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,128.0,21.0,34.0,0.16,30.0,2.0,Pseudomonas,
65,chemical_synthesis using cerium nitrate,cubic,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,350.0,37.1,15.8,0.16,30.0,3.0,Neisseria,Cryptococcus neoformans
66,green synthesis using acacia nilotica,triangles,disc_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,2.0,5.0,60.0,0.16,30.0,2.0,Proteus,Salmonella enterica subsp. enterica serovar Paratyphi A
67,chemical_synthesis purchased from nanoshel,rod-shaped,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,150.0,11.25,100.0,0.16,30.0,3.0,Citrobacter,Brevibacillus brevis
68,green_synthesis using aqueous Brassica rapa leaf,globular,ZOI,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,1200.0,62.0,51.3,0.16,30.0,3.0,Klebsiella,Cryptococcus neoformans
69,green_synthesis from  aqueous extract of Tamarindus indica L/,clusters,well_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,30.0,0.5,37.86,0.16,30.0,3.0,Stenotrophomonas,Sphingomonas paucimobilis
70,green_synthesis using C. zylinicum aqueous extracts,spheroidal,well_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,3.0,9.0,100.0,0.16,30.0,2.0,Bacillus,Shigella dysenteriae
71,green_synthesis using Dioscorea bulbifera tuber extract ,cube,ZOI,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,11.0,25.5,46.0,0.16,30.0,3.0,Saccharomyces,Streptococcus gordonii
72,green_synthesis from  Eurotium cristatum,spherical,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10500.0,37.86,115.6,0.16,30.0,1.0,Stenotrophomonas,Escherichia coli
73,chemical_synthesis (sigma aldrich. 916056),rod-shaped,well_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,25000.0,45.0,78.9,0.16,30.0,1.0,Citrobacter,Salmonella enterica subsp. enterica serovar Typhi
74,green_synthesis from Cassia auriculata Leaf Extract,spherical,disc_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,2.0,56.9,7.99,0.16,30.0,1.0,Serratia,Salmonella enterica
75,chemical_synthesis using cerium nitrate,rod-shaped,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10500.0,25.5,16.53,0.16,30.0,1.0,Enterococcus,Vibrio cholerae
76,green synthesis using origanum ehrenbergii,spherical,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,10.0,41.23,36.0,0.16,30.0,3.0,Paracidovorax,Staphylococcus aureus
77,green_synthesis using Aloe barbadensis leaves,cubic,ZOI,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,150.0,37.86,51.3,0.16,30.0,3.0,Klebsiella,Aspergillus flavus
78,green_synthesis using Momordica charantia,snowflake,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,15000.0,13.0,20.0,0.16,30.0,3.0,Proteus,Enterococcus faecium
79,green synthesis using flos sophorae,spherical,well_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,10000.0,43.75,42.0,0.16,30.0,1.0,Staphylococcus,Micrococcus luteus
80,green_synthesis from Luffa acutangula,nanoplates,disc_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,100.0,62.0,3.38,0.16,30.0,2.0,Brevibacillus,Neisseria mucosa
81,green synthesis using rumex hastatus,triangles,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,3.0,31.0,37.86,0.16,30.0,1.0,Proteus,Proteus mirabilis
82,green_synthesis using A. flavus,cubic,disc_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,125.0,43.75,41.23,0.16,30.0,3.0,Acinetobacter,Serratia marcescens
83,green_synthesis using aqueous extract of Ocimum tenuiflorum leaves. 50 mmol/kg Cu(CH3COO)2*H2O,quasi-spherical,well_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,13.0,77.0,60.0,0.16,30.0,1.0,Penicillium,Escherichia coli
84,green_synthesis from Cassia auriculata Leaf Extract,semi-spherical,disc_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,0.0,92.0,10.34,0.16,30.0,2.0,Listeria,Klebsiella aerogenes
85,green_synthesis using Camellia sinensis,snowflake,disc_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,102.0,27.43,200.0,0.16,30.0,2.0,Streptococcus,micrococcus lotus
86,green_synthesis using aqueous Brassica rapa leaf,cubic,ZOI,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,40.6897,20.0,50.0,0.16,30.0,1.0,Paracidovorax,Micrococcus luteus
87,green synthesis using pimpinella anisum,semi-spherical,well_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,21.25,8.0,11.25,0.16,30.0,1.0,Candida,Klebsiella aerogenes
88,green_synthesis from fungus,semi-spherical,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,170.0,93.2,41.9,0.16,30.0,2.0,Pseudomonas,Vibrio cholerae
89,green_synthesis using using Aeromonas hydrophila,triangles,ZOI,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,40.6897,81.0,70.0,0.16,30.0,1.0,Candida,Salmonella enterica subsp. enterica serovar Typhi
90,chemical_synthesis using cerium nitrate,spheroidal,well_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,10.625,51.3,25.8,0.16,30.0,1.0,Proteus,Streptococcus gordonii
91,green_synthesis using Aloe barbadensis leaves,polygonal ,ZOI,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,40.0,93.2,36.4,0.16,30.0,1.0,Aspergillus,Enterococcus faecium
92,chemical_synthesis purchased from sigma aldrich,nanorods,well_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,79.5454,93.2,36.0,0.16,30.0,2.0,Acinetobacter,Micrococcus luteus
93,green green synthesis using commiphora myrrh,triangular,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,6000.0,42.8,25.5,0.16,30.0,3.0,Citrobacter,micrococcus lotus
94,chemical_synthesis using thermal decomposition,Spherical,ZOI,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,9.0,25.5,70.0,0.16,30.0,3.0,Citrobacter,Escherichia coli
95,chem_synthesis_thermal_reduction_of_Cu(NO3)2⋅3H2O,nanoplates,well_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,40.6897,31.0,75.3,0.16,30.0,1.0,Saccharomyces,Paracidovorax avenae
96,chemical_synthesis (sigma aldrich. 916056),semi-spherical,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,0.3,26.38,75.3,0.16,30.0,3.0,Penicillium,Proteus sp. (in: enterobacteria)
97,green synthesis using phyllanthus niruri ,nanorods,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,4000.0,54.4,55.0,0.16,30.0,3.0,Vibrio,Salmonella enterica subsp. enterica serovar Gallinarum
98,green green synthesis using commiphora myrrh,pseudo-spherical,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,11.0,55.0,15.55,0.16,30.0,3.0,Listeria,Escherichia coli
99,chemical_synthesis using sodium borohydride,rod-shaped,disc_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,4.0,45.0,50.0,0.16,30.0,3.0,Brevibacillus,Saccharomyces cerevisiae
