,Unnamed: 0,NP,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,Genus,Species
23,23,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Acinetobacter baumannii,18.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,500.0,8.0,20.0,24.0,37.0,2.0,Acinetobacter,Acinetobacter baumannii
24,24,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Acinetobacter baumannii,18.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,500.0,8.0,20.0,24.0,37.0,2.0,Acinetobacter,Acinetobacter baumannii
25,25,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Acinetobacter baumannii,18.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,300.0,8.0,20.0,24.0,37.0,2.0,Acinetobacter,Acinetobacter baumannii
26,26,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Acinetobacter baumannii,18.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,300.0,8.0,20.0,24.0,37.0,2.0,Acinetobacter,Acinetobacter baumannii
27,27,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Acinetobacter baumannii,18.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,100.0,8.0,20.0,24.0,37.0,2.0,Acinetobacter,Acinetobacter baumannii
28,28,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Acinetobacter baumannii,18.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,100.0,8.0,20.0,24.0,37.0,2.0,Acinetobacter,Acinetobacter baumannii
29,29,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Acinetobacter baumannii,18.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,50.0,8.0,20.0,24.0,37.0,2.0,Acinetobacter,Acinetobacter baumannii
30,30,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Acinetobacter baumannii,18.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,50.0,8.0,20.0,24.0,37.0,2.0,Acinetobacter,Acinetobacter baumannii
31,31,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Enterobacter cloacae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,water,1000.0,8.0,20.0,12.0,30.0,2.0,Enterobacter,Enterobacter cloacae
32,32,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Enterobacter cloacae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,water,1000.0,8.0,20.0,12.0,30.0,2.0,Enterobacter,Enterobacter cloacae
33,33,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Enterobacter cloacae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,water,500.0,8.0,20.0,12.0,30.0,2.0,Enterobacter,Enterobacter cloacae
34,34,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Enterobacter cloacae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,water,500.0,8.0,20.0,12.0,30.0,2.0,Enterobacter,Enterobacter cloacae
35,35,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Enterobacter cloacae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,water,300.0,8.0,20.0,12.0,30.0,2.0,Enterobacter,Enterobacter cloacae
36,36,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Enterobacter cloacae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,water,300.0,8.0,20.0,12.0,30.0,2.0,Enterobacter,Enterobacter cloacae
37,37,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,1000.0,8.0,20.0,48.0,37.0,2.0,Escherichia,Escherichia coli
38,38,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,1000.0,8.0,20.0,48.0,37.0,2.0,Escherichia,Escherichia coli
39,39,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,500.0,8.0,20.0,48.0,37.0,2.0,Escherichia,Escherichia coli
40,40,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,500.0,8.0,20.0,48.0,37.0,2.0,Escherichia,Escherichia coli
41,41,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,300.0,8.0,20.0,48.0,37.0,2.0,Escherichia,Escherichia coli
42,42,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,300.0,8.0,20.0,48.0,37.0,2.0,Escherichia,Escherichia coli
43,43,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,100.0,8.0,20.0,48.0,37.0,2.0,Escherichia,Escherichia coli
44,44,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,100.0,8.0,20.0,48.0,37.0,2.0,Escherichia,Escherichia coli
45,45,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,50.0,8.0,20.0,48.0,37.0,2.0,Escherichia,Escherichia coli
46,46,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,50.0,8.0,20.0,48.0,37.0,2.0,Escherichia,Escherichia coli
47,47,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,30.0,8.0,20.0,48.0,37.0,2.0,Escherichia,Escherichia coli
48,48,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,30.0,8.0,20.0,48.0,37.0,2.0,Escherichia,Escherichia coli
49,49,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,20.0,8.0,20.0,48.0,37.0,2.0,Escherichia,Escherichia coli
50,50,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,20.0,8.0,20.0,48.0,37.0,2.0,Escherichia,Escherichia coli
51,51,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Haemophilus influenzae,18.0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bacteria,pathogenic,n,respiratory tract,1000.0,8.0,20.0,24.0,37.0,2.0,Haemophilus,Haemophilus influenzae
52,52,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Haemophilus influenzae,18.0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bacteria,pathogenic,n,respiratory tract,1000.0,8.0,20.0,24.0,37.0,2.0,Haemophilus,Haemophilus influenzae
53,53,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Haemophilus influenzae,18.0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bacteria,pathogenic,n,respiratory tract,500.0,8.0,20.0,24.0,37.0,2.0,Haemophilus,Haemophilus influenzae
54,54,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Haemophilus influenzae,18.0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bacteria,pathogenic,n,respiratory tract,500.0,8.0,20.0,24.0,37.0,2.0,Haemophilus,Haemophilus influenzae
55,55,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Haemophilus influenzae,18.0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bacteria,pathogenic,n,respiratory tract,300.0,8.0,20.0,24.0,37.0,2.0,Haemophilus,Haemophilus influenzae
56,56,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Haemophilus influenzae,18.0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bacteria,pathogenic,n,respiratory tract,300.0,8.0,20.0,24.0,37.0,2.0,Haemophilus,Haemophilus influenzae
57,57,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Haemophilus influenzae,18.0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bacteria,pathogenic,n,respiratory tract,100.0,8.0,20.0,24.0,37.0,2.0,Haemophilus,Haemophilus influenzae
58,58,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Haemophilus influenzae,18.0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bacteria,pathogenic,n,respiratory tract,100.0,8.0,20.0,24.0,37.0,2.0,Haemophilus,Haemophilus influenzae
59,59,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,1000.0,8.0,20.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
60,60,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,1000.0,8.0,20.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
61,61,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,500.0,8.0,20.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
62,62,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,500.0,8.0,20.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
63,63,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,300.0,8.0,20.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
64,64,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,300.0,8.0,20.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
65,65,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,100.0,8.0,20.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
66,66,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,100.0,8.0,20.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
67,67,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,50.0,8.0,20.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
68,68,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,50.0,8.0,20.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
69,69,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,30.0,8.0,20.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
70,70,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,30.0,8.0,20.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
71,71,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,20.0,8.0,20.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
72,72,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,20.0,8.0,20.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
73,73,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,1000.0,8.0,20.0,24.0,30.0,2.0,Neisseria,Neisseria mucosa
74,74,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,1000.0,8.0,20.0,24.0,30.0,2.0,Neisseria,Neisseria mucosa
75,75,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,500.0,8.0,20.0,24.0,30.0,2.0,Neisseria,Neisseria mucosa
76,76,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,500.0,8.0,20.0,24.0,30.0,2.0,Neisseria,Neisseria mucosa
77,77,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,300.0,8.0,20.0,24.0,30.0,2.0,Neisseria,Neisseria mucosa
78,78,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,300.0,8.0,20.0,24.0,30.0,2.0,Neisseria,Neisseria mucosa
79,79,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,100.0,8.0,20.0,24.0,30.0,2.0,Neisseria,Neisseria mucosa
80,80,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,100.0,8.0,20.0,24.0,30.0,2.0,Neisseria,Neisseria mucosa
81,81,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,50.0,8.0,20.0,24.0,30.0,2.0,Neisseria,Neisseria mucosa
82,82,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,50.0,8.0,20.0,24.0,30.0,2.0,Neisseria,Neisseria mucosa
83,83,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,30.0,8.0,20.0,24.0,30.0,2.0,Neisseria,Neisseria mucosa
84,84,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,30.0,8.0,20.0,24.0,30.0,2.0,Neisseria,Neisseria mucosa
85,85,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,20.0,8.0,20.0,24.0,30.0,2.0,Neisseria,Neisseria mucosa
