,NP_Synthesis,shape,method,Bacteria,NP size_min (nm),NP size_max (nm),MDR,MIC_NP (μg/ml),time (hr),Superkingdom,Phylum,Class,Order,Family,Genus,Species,bac_type,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C ",biosafety_level
25,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,500.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
26,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,500.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
27,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,500.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
28,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,500.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,37.0,2
29,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,500.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,33.5,2
30,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,500.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,12.0,24.0,37.0,2
31,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,500.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,48.0,32.0,2
32,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,500.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,6.0,24.0,72.0,37.0,2
33,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
34,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
35,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
36,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,37.0,2
37,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,33.5,2
38,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,12.0,24.0,37.0,2
39,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,48.0,32.0,2
40,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,6.0,24.0,72.0,37.0,2
41,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
42,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
43,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
44,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,37.0,2
45,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,33.5,2
46,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,12.0,24.0,37.0,2
47,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,48.0,32.0,2
48,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,1000.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,6.0,24.0,72.0,37.0,2
49,Green synthesis using Streptomyces chiangmaiensis,spherical,MIC,Acinetobacter baumannii,6.1,23.75,1.0,0.0068,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
50,Green synthesis using Streptomyces chiangmaiensis,spherical,MIC,Acinetobacter baumannii,6.1,23.75,1.0,0.0068,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
51,Green synthesis using Streptomyces chiangmaiensis,spherical,MIC,Acinetobacter baumannii,6.1,23.75,1.0,0.0068,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
52,Green synthesis using Streptomyces chiangmaiensis,spherical,MIC,Acinetobacter baumannii,6.1,23.75,1.0,0.0068,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,37.0,2
53,Green synthesis using Streptomyces chiangmaiensis,spherical,MIC,Acinetobacter baumannii,6.1,23.75,1.0,0.0068,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,33.5,2
54,Green synthesis using Streptomyces chiangmaiensis,spherical,MIC,Acinetobacter baumannii,6.1,23.75,1.0,0.0068,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,12.0,24.0,37.0,2
55,Green synthesis using Streptomyces chiangmaiensis,spherical,MIC,Acinetobacter baumannii,6.1,23.75,1.0,0.0068,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,48.0,32.0,2
56,Green synthesis using Streptomyces chiangmaiensis,spherical,MIC,Acinetobacter baumannii,6.1,23.75,1.0,0.0068,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,6.0,24.0,72.0,37.0,2
57,"Chemical synthesis, purchased from Sigma-Aldrich",spherical,MIC,Acinetobacter baumannii,0.2,100.0,1.0,1.35,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
58,"Chemical synthesis, purchased from Sigma-Aldrich",spherical,MIC,Acinetobacter baumannii,0.2,100.0,1.0,1.35,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
59,"Chemical synthesis, purchased from Sigma-Aldrich",spherical,MIC,Acinetobacter baumannii,0.2,100.0,1.0,1.35,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
60,"Chemical synthesis, purchased from Sigma-Aldrich",spherical,MIC,Acinetobacter baumannii,0.2,100.0,1.0,1.35,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,37.0,2
61,"Chemical synthesis, purchased from Sigma-Aldrich",spherical,MIC,Acinetobacter baumannii,0.2,100.0,1.0,1.35,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,33.5,2
62,"Chemical synthesis, purchased from Sigma-Aldrich",spherical,MIC,Acinetobacter baumannii,0.2,100.0,1.0,1.35,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,12.0,24.0,37.0,2
63,"Chemical synthesis, purchased from Sigma-Aldrich",spherical,MIC,Acinetobacter baumannii,0.2,100.0,1.0,1.35,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,48.0,32.0,2
64,"Chemical synthesis, purchased from Sigma-Aldrich",spherical,MIC,Acinetobacter baumannii,0.2,100.0,1.0,1.35,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,6.0,24.0,72.0,37.0,2
65,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.66,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
66,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.66,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
67,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.66,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
68,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.66,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,37.0,2
69,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.66,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,33.5,2
70,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.66,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,12.0,24.0,37.0,2
71,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.66,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,48.0,32.0,2
72,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.66,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,6.0,24.0,72.0,37.0,2
73,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.125,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
74,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.125,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
75,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.125,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
76,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.125,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,37.0,2
77,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.125,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,33.5,2
78,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.125,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,12.0,24.0,37.0,2
79,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.125,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,48.0,32.0,2
80,Green synthesis using Sambucus ebulus,spherical,MIC,Acinetobacter baumannii,40.0,60.0,1.0,3.125,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,6.0,24.0,72.0,37.0,2
81,Green synthesis using Sambucus ebulus,spherical,MBC,Acinetobacter baumannii,40.0,60.0,1.0,100.0,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
82,Green synthesis using Sambucus ebulus,spherical,MBC,Acinetobacter baumannii,40.0,60.0,1.0,100.0,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
83,Green synthesis using Sambucus ebulus,spherical,MBC,Acinetobacter baumannii,40.0,60.0,1.0,100.0,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
84,Green synthesis using Sambucus ebulus,spherical,MBC,Acinetobacter baumannii,40.0,60.0,1.0,100.0,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,37.0,2
85,Green synthesis using Sambucus ebulus,spherical,MBC,Acinetobacter baumannii,40.0,60.0,1.0,100.0,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,33.5,2
86,Green synthesis using Sambucus ebulus,spherical,MBC,Acinetobacter baumannii,40.0,60.0,1.0,100.0,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,12.0,24.0,37.0,2
87,Green synthesis using Sambucus ebulus,spherical,MBC,Acinetobacter baumannii,40.0,60.0,1.0,100.0,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,48.0,32.0,2
88,Green synthesis using Sambucus ebulus,spherical,MBC,Acinetobacter baumannii,40.0,60.0,1.0,100.0,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,6.0,24.0,72.0,37.0,2
89,Green synthesis using Sambucus ebulus,spherical,MBC,Acinetobacter baumannii,40.0,60.0,1.0,100.0,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
90,Green synthesis using Sambucus ebulus,spherical,MBC,Acinetobacter baumannii,40.0,60.0,1.0,100.0,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
